Easting,Northing,Mag_nT
535843.3549063087,4069292.2212533015,31.376880944308013
535843.2896250496,4069294.4078445407,31.46009104300424
535843.223230294,4069296.595107723,31.502650425764795
535843.1561183595,4069298.7739175954,31.503823914978497
535843.0884079713,4069300.961453106,31.462900705845016
535843.0215418343,4069303.1487903055,31.379194905679384
535842.9559275635,4069305.345667952,31.252046058190132
535842.8920825328,4069307.5347491046,31.08081965239683
535842.8298517681,4069309.716128339,30.86490761586101
535842.7690359692,4069311.907200581,30.603728791915465
535842.7097054258,4069314.100173289,30.29672940058509
535842.6517434673,4069316.3042924623,29.94338348290342
535842.5956634028,4069318.502953218,29.54319332833865
535842.5410118214,4069320.705906084,29.09568988505302
535842.4870396393,4069322.904327105,28.60043315273052
535842.4321595555,4069325.114575165,28.05701255771762
535842.3753427466,4069327.326658524,27.46504731023301
535842.3147667322,4069329.54911836,26.82418674341321
535842.2504914062,4069331.761912997,26.1341106339718
535842.1821827983,4069333.9737892738,25.39452950426113
535842.1108433853,4069336.174862604,24.605184905536845
535842.0369291715,4069338.382082425,23.765849682237103
535841.9616931375,4069340.5867901873,22.87632821709946
535841.8843016832,4069342.7992327022,21.93645665695053
535841.8046157493,4069345.0026825,20.94610311901509
535841.7213952971,4069347.207257255,19.905167877603184
535841.6354483386,4069349.403386346,18.813583531045307
535841.5465246624,4069351.6096536927,17.671315148759046
535841.4561745588,4069353.817198513,16.478360398340822
535841.3666397312,4069356.034247663,15.234749652590192
535841.2806899605,4069358.243912192,13.940546076385234
535841.1993465171,4069360.4460675176,12.595845693340836
535841.1223440561,4069362.658515089,11.200777432192726
535841.0507482245,4069364.871211344,9.755503152864035
535840.9835656908,4069367.085091469,8.260217652182009
535840.9197788939,4069369.3069349257,6.715148649226139
535840.8584982445,4069371.518318444,5.120556750300559
535840.7969202761,4069373.72810557,3.476735393536514
535840.7326250771,4069375.927003945,1.7840107731425972
535840.6639352847,4069378.132715669,0.0427417433338169
535840.5912285348,4069380.3365688194,-1.7466802980183989
535840.5153052113,4069382.5472001527,-3.583831545959494
535840.4395131,4069384.746489438,-5.468255945180906
