Long,Lat,Mag_nT,Easting,Northing,Heading,Dir,Dist
-116.61150463329363,36.7675941689731,48071.0,534671.7850079827,4069161.7020172947,184.20294646356797,NS,38.86849830612633
-116.61151257777556,36.76752891368137,48080.1,534671.1053681944,4069154.460394167,184.50983069239496,NS,7.273445934869311
-116.6115140335489,36.7675099209775,48080.3,534670.9839959223,4069152.3530132337,183.29624560653536,NS,2.1108731903546714
-116.61151496689271,36.76749018721897,48080.0,534670.9095823994,4069150.163616622,181.9466277409778,NS,2.1906608355690493
-116.61151524808284,36.76746992289446,48080.4,534670.8936103707,4069147.915600748,180.40707650165683,NS,2.2480726135406965
-116.61151491263254,36.76744914977616,48080.5,534670.932900629,4069145.6113679316,179.0231248225911,NS,2.304567767653172
-116.61151405266234,36.76742812809344,48081.3,534671.0191145857,4069143.279751953,177.88239293522076,NS,2.3332093598724795
-116.6115127714686,36.76740698446656,48082.5,534671.1429763949,4069140.934761337,176.97646119607603,NS,2.348259512452623
-116.61151116440443,36.76738588725794,48082.5,534671.2959003063,4069138.595037926,176.26047682007203,NS,2.3447156251352865
-116.61150937188424,36.76736488570869,48083.0,534671.4653326179,4069136.2659931583,175.8392017527099,NS,2.335199528507335
-116.6115075091745,36.767344122201855,48084.2,534671.6409220451,4069133.963379784,175.63925924846598,NS,2.309298594490325
-116.61150565016553,36.767323683798665,48085.3,534671.8160349055,4069131.696828706,175.58212643419523,NS,2.273305589289431
-116.611503849463,36.767303696516976,48085.7,534671.9857410626,4069129.48029926,175.6217530054519,NS,2.223016636366888
-116.61150212871785,36.76728419455561,48085.6,534672.1480928351,4069127.3175772605,175.70695768454743,NS,2.1688071709983903
-116.61150050344648,36.767265167338046,48085.9,534672.3017101765,4069125.207483844,175.8361440623908,NS,2.115677790817507
-116.61149900330278,36.7672465839498,48086.4,534672.443960477,4069123.1465789275,176.05152311442774,NS,2.0658083701870833
-116.61149767206771,36.76722838985248,48087.0,534672.5709609546,4069121.1287967344,176.39851844753355,NS,2.0217749875500655
-116.61149652379449,36.767210496552,48087.7,534672.6814972283,4069119.1443155557,176.8119000110975,NS,1.9875572485777813
-116.61149555089628,36.767192758065065,48088.5,534672.7763121191,4069117.176944265,177.2408395614468,NS,1.9696547053707913
-116.61149474185936,36.76717506013352,48089.2,534672.8564846229,4069115.21401242,177.66115446429757,NS,1.9645684156601741
-116.6114940901778,36.767157248992056,48089.9,534672.9226645994,4069113.238465249,178.08133365569407,NS,1.976655360216019
-116.61149356986807,36.76713928396896,48090.6,534672.9771893095,4069111.245800464,178.43262325336056,NS,1.9934106174829456
-116.6114931629171,36.76712108614582,48092.4,534673.0217018934,4069109.2272702013,178.73671950793735,NS,2.0190209982298546
-116.61149285787576,36.7671026296338,48093.9,534673.0572358018,4069107.1800067723,179.00562939712046,NS,2.0475717829928857
-116.611492636188,36.76708387678268,48094.6,534673.0854640615,4069105.09984037,179.22253293253362,NS,2.0803579249224176
-116.61149244919008,36.76706489576524,48095.4,534673.1106990792,4069102.9943510043,179.31332315836949,NS,2.1056405855309652
-116.61149225078148,36.76704571153072,48097.5,534673.1370439706,4069100.8663229854,179.2907170542627,NS,2.128191086904733
-116.6114920047446,36.767026362868,48099.8,534673.167713597,4069098.7200722676,179.18130694724923,NS,2.146469838983936
-116.61149168055285,36.76700689840292,48101.1,534673.205410491,4069096.561003955,178.99972896600187,NS,2.159397377474387
-116.61149127943987,36.766987354660806,48102.7,534673.2500081063,4069094.3931693416,178.82145310789753,NS,2.168293305497456
-116.61149081346773,36.76696778870669,48105.0,534673.3004042539,4069092.222894262,178.66976875113886,NS,2.170860127371408
-116.61149029727548,36.76694823008472,48107.2,534673.3552791334,4069090.0534507325,178.55104377121916,NS,2.1701374335224908
-116.61148975426944,36.76692870355508,48110.0,534673.4125326481,4069087.887576913,178.48577467550373,NS,2.1666304177039484
-116.61148921468076,36.7669092152807,48112.1,534673.4694639678,4069085.7259455035,178.49133833149037,NS,2.1623809853722085
-116.61148869852008,36.76688976996331,48114.8,534673.5242850742,4069083.569070819,178.54403136106384,NS,2.1575712639088533
-116.61148821897238,36.76687036559216,48119.0,534673.5758201462,4069081.4167250292,178.62839044530932,NS,2.152962670750116
-116.61148778763386,36.76685099778737,48123.2,534673.6230362206,4069079.268418076,178.7409404811946,NS,2.1488257544708578
-116.61148739545386,36.76683167637408,48127.3,534673.6667366178,4069077.1252431367,178.8318725850641,NS,2.143620429381717
-116.61148702416432,36.766812387243945,48131.6,534673.7085580688,4069074.9856417933,178.8802177791026,NS,2.1400100331697374
-116.6114866510221,36.76679311617456,48135.9,534673.7505367487,4069072.848044602,178.87495545568933,NS,2.1380093454337366
-116.61148625402032,36.76677385468358,48140.6,534673.7946405406,4069070.71151859,178.81742497719355,NS,2.136981175821487
-116.61148582748926,36.76675458077736,48145.4,534673.8413853546,4069068.5736260633,178.74743288473104,NS,2.138403500937359
-116.61148538097952,36.76673528730636,48149.5,534673.8899220431,4069066.433570466,178.70074837225508,NS,2.1406059351581943
-116.61148493138124,36.76671596137758,48153.8,534673.9387490073,4069064.289915465,178.69517468065314,NS,2.1442110056018873
-116.61148450624977,36.76669657911517,48159.2,534673.9854177457,4069062.1400025417,178.7564603922964,NS,2.1504193888844663
-116.6114841319712,36.76667715341356,48165.1,534674.0275675467,4069059.9852525108,178.87936061626445,NS,2.155162244848762
-116.6114838195686,36.76665768928956,48169.9,534674.0642123664,4069057.8262178907,179.0276247035868,NS,2.1593455798772574
-116.61148356405292,36.7666381963858,48174.5,534674.0957931202,4069055.663970145,179.16322481288836,NS,2.1624783601623014
-116.61148334328873,36.76661868241283,48179.4,534674.1242818708,4069053.4993726183,179.2459610093865,NS,2.1647849919390048
-116.61148311770978,36.76659916295096,48184.3,534674.1532028047,4069051.3341679606,179.2347379664825,NS,2.16539779952285
-116.61148285663803,36.766579636201406,48188.9,534674.1852946862,4069049.168167747,179.15115666794281,NS,2.1662379402151632
-116.6114825443234,36.76656010732656,48193.2,534674.2219608531,4069047.0019503464,179.03028384117428,NS,2.166527690765615
-116.61148218137303,36.76654059581719,48197.3,534674.2631383436,4069044.8376776394,178.9100210013347,NS,2.164664393340583
-116.61148179027587,36.76652110703167,48201.0,534674.306817661,4069042.675935883,178.84246116040867,NS,2.1621829950308515
-116.61148139397626,36.76650166617674,48204.8,534674.3509397196,4069040.5195129397,178.827848193117,NS,2.156874281599285
-116.61148101547164,36.76648228863129,48208.4,534674.3934451212,4069038.370106456,178.86709994207243,NS,2.1498267237244937
-116.61148068153598,36.766462985980034,48210.9,534674.4319391233,4069036.2289918168,178.97001952558517,NS,2.1414606431224503
-116.61148040671368,36.76644377382428,48213.1,534674.465116637,4069034.097894401,179.108075521664,NS,2.131355658632494
-116.6114801849966,36.766424631311935,48216.1,534674.4935232644,4069031.974503273,179.23354545566036,NS,2.123581130447475
-116.6114800007828,36.76640553584988,48219.5,534674.5185616183,4069029.856317837,179.32275750466582,NS,2.118333416141717
-116.61147984193168,36.76638645154557,48222.8,534674.5413313786,4069027.739360944,179.38375652990834,NS,2.1170793438924727
-116.61147970214373,36.76636734904552,48225.5,534674.5624079861,4069025.620378705,179.4301222477585,NS,2.1190870560902977
-116.61147957836948,36.76634819895449,48227.2,534674.582076827,4069023.496111424,179.4695067927894,NS,2.1243583371376626
-116.61147946668147,36.76632898496521,48228.7,534674.6006957646,4069021.364751565,179.49949352322696,NS,2.131441182621143
-116.61147935627926,36.76630969059653,48230.1,534674.6192361399,4069019.2244747905,179.50368162811972,NS,2.1403570767787397
